Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity
SAP SE,3/31/2021,6588278496,731216298.1,11461577968,53638409260,42176831292,1.363232632,1.733691877,0.271750571
SAP SE,6/30/2021,11199189899,719949867.5,45007114334,92397807990,47390693656,0.779185008,1.519179847,0.949703641
SAP SE,9/30/2021,9000667547,1079598533,20844606335,48683375624,27838769289,2.217591773,3.878039728,0.748761776
SAP SE,12/31/2021,12465229611,800983300.4,28257880783,51866957482,23609076699,1.544303617,3.392692186,1.196907492
SAP SE,3/31/2022,14896500404,1471513321,30918779103,51643572423,20724793320,2.849363924,7.100255712,1.491873942
SAP SE,6/30/2022,14799049316,1792143630,35425741218,52933352519,17507611301,3.385660542,10.23636862,2.023448008
SAP SE,9/30/2022,18713092617,1701020228,36355439326,47077977464,10722538138,3.613197338,15.86396995,3.390562837
SAP SE,12/31/2022,16805465254,1837934274,10102113588,37939001132,27836887544,4.844445609,6.602513558,0.362903847
SAP SE,3/31/2023,14505450248,863046066.9,22921333603,46384701674,23463368071,1.860626534,3.678270163,0.976898693
SAP SE,6/30/2023,10806122549,698788622.5,46400326109,56419077430,10018751320,1.238567971,6.97480754,4.631348222
SAP SE,9/30/2023,17167661800,1338393789,26063953489,52362126677,26298173188,2.556034053,5.089303273,0.991093689
SAP SE,12/31/2023,13414872686,1069408471,35679098743,80239095201,44559996459,1.332777331,2.399929435,0.800697971
SAP SE,3/31/2024,13351789947,761306516.2,45369290420,94052696634,48683406213,0.809446771,1.563790571,0.931925146
SAP SE,6/30/2024,8144018454,529257365.4,31360696540,57876694077,26515997537,0.914456801,1.995992663,1.182708533
SAP SE,9/30/2024,10824151396,830279996.2,42369695133,72342104340,29972409208,1.14771336,2.770147673,1.413623271
SAP SE,12/31/2024,16754700510,923006607.2,49206362475,96053458782,46847096308,0.96093011,1.970253612,1.05036099
Bayer AG,3/31/2017,13027840283,1127343336,48157761467,85094142147,36936380680,1.324818968,3.052121825,1.303802933
Bayer AG,6/30/2017,8439918128,854234127.5,26356391355,61242421820,34886030465,1.39484054,2.448642382,0.755499866
Bayer AG,9/30/2017,12670837136,1282915745,20339721000,55136777973,34797056973,2.326787657,3.686851292,0.584524174
Bayer AG,12/31/2017,18251254610,2670535587,16524775630,29169852309,12645076680,9.15512207,21.11917274,1.30681498
Bayer AG,3/31/2018,6560227745,884011217.4,46074070728,59231903754,13157833026,1.492457884,6.718516763,3.501645798
Bayer AG,6/30/2018,14443060707,1684483053,37340600075,64364816177,27024216101,2.617086715,6.233235581,1.38174591
Bayer AG,9/30/2018,8605806470,524552249.3,34919186753,46399878511,11480691758,1.130503497,4.568995147,3.041557729
Bayer AG,12/31/2018,18541451915,2242441772,28896911499,58238408654,29341497155,3.850451659,7.642560842,0.984847888
Bayer AG,3/31/2019,15790567330,951709509,15068249757,54818573513,39750323756,1.736107761,2.394218258,0.379072378
Bayer AG,6/30/2019,13365845309,1437180604,30394456127,61175428677,30780972550,2.349277536,4.669055214,0.987443008
Bayer AG,9/30/2019,11417678713,984493632.9,43202192055,87180029468,43977837414,1.129265084,2.238613108,0.982362813
Bayer AG,12/31/2019,17402979577,1387637302,31887265220,61548783018,29661517798,2.254532476,4.67824105,1.075038217
Bayer AG,3/31/2020,14107423353,1367599932,13615077246,27849556029,14234478784,4.910670497,9.607657241,0.956485829
Bayer AG,6/30/2020,12664152205,953498605.8,14551986231,38961279021,24409292791,2.447298009,3.906293451,0.596165827
Bayer AG,9/30/2020,7778215290,1028179890,32630440063,51398528756,18768088693,2.000407238,5.478340957,1.738612844
Bayer AG,12/31/2020,14954913916,1086100755,49223539015,87910824435,38687285420,1.235457365,2.807384243,1.272344091
Bayer AG,3/31/2021,15481381698,1813221637,20090535950,39516175321,19425639371,4.588555503,9.33416709,1.034227784
Bayer AG,6/30/2021,11712522838,1191464502,39707273398,77463236730,37755963332,1.538103173,3.155698855,1.051682169
Bayer AG,9/30/2021,13756386408,721617987.5,44559907041,88194004126,43634097086,0.818216606,1.653793789,1.02121758
Bayer AG,12/31/2021,13009192330,1451167596,31049801948,49482603845,18432801897,2.932682364,7.872745579,1.684486283
Bayer AG,3/31/2022,9090799678,904181650.9,49055627276,76658563614,27602936339,1.179492034,3.275671979,1.777188726
Bayer AG,6/30/2022,7918029220,810924591.5,42824962792,91140421051,48315458259,0.889752957,1.678395737,0.886361515
Bayer AG,9/30/2022,10642582906,1154447670,44364932131,75643621464,31278689333,1.526166579,3.690844131,1.418375676
Bayer AG,12/31/2022,19647577142,1826544478,10046371516,37513857859,27467486343,4.868985975,6.649842126,0.365755038
Bayer AG,3/31/2023,15711957620,2201969781,29454258021,71356904907,41902646886,3.085853826,5.254965841,0.702921181
Bayer AG,6/30/2023,10038837028,1319011419,42095419645,52756441711,10661022066,2.500190263,12.37227923,3.948535083
Bayer AG,9/30/2023,9457609977,1131311165,40856047831,77252438398,36396390567,1.464434247,3.108305926,1.122530207
Bayer AG,12/31/2023,15851738346,905684923,42371799830,52389418748,10017618918,1.728755433,9.040920106,4.22972766
Bayer AG,3/31/2024,10194351917,1512864021,26311852797,62689824382,36377971585,2.413252926,4.158736606,0.723290817
Bayer AG,6/30/2024,7369565272,1064148244,20591206981,42904241960,22313034979,2.480286785,4.7691775,0.922833088
Bayer AG,9/30/2024,9332023907,746667545.1,23673143006,42677324477,19004181470,1.749565031,3.928964508,1.245680749
Bayer AG,12/31/2024,5728072323,604515777.3,34398569588,80121015584,45722445996,0.754503388,1.322142252,0.752334413
Deutsche Bank AG,3/31/2017,14843015558,1680873545,14840428879,46770654578,31930225699,3.593863632,5.264208155,0.464776824
Deutsche Bank AG,6/30/2017,19544012256,2752792674,13706520368,55551723268,41845202900,4.955368641,6.578514343,0.327552967
Deutsche Bank AG,9/30/2017,19868905162,1429630591,12720436994,42183197053,29462760059,3.389099666,4.852330833,0.431746278
Deutsche Bank AG,12/31/2017,9318303083,958508333.7,11123712659,49692010679,38568298020,1.928898269,2.485223313,0.288415959
Deutsche Bank AG,3/31/2018,13740924616,1900766775,46035800087,57764409125,11728609038,3.290550018,16.20624209,3.925086081
Deutsche Bank AG,6/30/2018,7788761208,663079894,30096796442,49497014532,19400218090,1.339636138,3.417899175,1.55136382
Deutsche Bank AG,9/30/2018,17771922214,1082288023,48317236409,88972406897,40655170488,1.216431095,2.662116553,1.188464735
Deutsche Bank AG,12/31/2018,8808021584,1274941171,36770248755,55390246152,18619997397,2.301743104,6.847160844,1.97477196
Deutsche Bank AG,3/31/2019,11192425819,1563079220,10546244209,38688850201,28142605992,4.040128387,5.554138164,0.374742986
Deutsche Bank AG,6/30/2019,9538166828,766520233.9,38799826104,70810004871,32010178767,1.082502727,2.394614037,1.21210901
Deutsche Bank AG,9/30/2019,6824564419,375695945.9,12634199326,28137106192,15502906866,1.335233067,2.42339033,0.814956797
Deutsche Bank AG,12/31/2019,9814156310,576451352.5,25131659304,46301105258,21169445954,1.245005598,2.723034669,1.187166606
Deutsche Bank AG,3/31/2020,11812773682,980285159.4,44322011186,92083567435,47761556249,1.064560363,2.052456487,0.927985071
Deutsche Bank AG,6/30/2020,16087302422,1326310547,32589277601,54693171121,22103893521,2.425002097,6.000348063,1.474368195
Deutsche Bank AG,9/30/2020,11268644278,1309520126,44147215219,66843792777,22696577557,1.959075139,5.769681015,1.945104503
Deutsche Bank AG,12/31/2020,16454038855,1761523797,29090502114,64555499757,35464997643,2.728696708,4.966936173,0.820259525
Deutsche Bank AG,3/31/2021,8720665039,1028066418,14173153454,61397948008,47224794554,1.674431233,2.176963241,0.300121019
Deutsche Bank AG,6/30/2021,5220250485,460458002.1,44926554184,91889065168,46962510984,0.501102064,0.980479945,0.95664719
Deutsche Bank AG,9/30/2021,12533912164,782840180.3,42843256371,86694386780,43851130409,0.902988313,1.785222349,0.977016008
Deutsche Bank AG,12/31/2021,10414516344,1120888368,33962234582,80244374780,46282140198,1.396843544,2.421859412,0.733808645
Deutsche Bank AG,3/31/2022,15495522952,1232326295,38566723026,72355738353,33789015327,1.703149361,3.647121064,1.141398252
Deutsche Bank AG,6/30/2022,13527313706,1369609294,47047722396,76309903159,29262180763,1.794798889,4.680475816,1.607799596
Deutsche Bank AG,9/30/2022,11924228778,1074208571,47986876748,85149075647,37162198900,1.261562223,2.890594752,1.291281952
Deutsche Bank AG,12/31/2022,7252204354,949551701.2,44858188981,86269206025,41411017045,1.10068441,2.29299295,1.083242871
Deutsche Bank AG,3/31/2023,7317098693,887813882.3,23138553563,72645962598,49507409035,1.222110425,1.793294983,0.467375571
Deutsche Bank AG,6/30/2023,7129233268,804182359.4,37136074738,74971932150,37835857412,1.07264457,2.125450338,0.981504776
Deutsche Bank AG,9/30/2023,17914537947,1449472284,20633879462,43019367872,22385488410,3.369348169,6.475053201,0.92175248
Deutsche Bank AG,12/31/2023,12421650351,967097057.5,33786415736,79888234351,46101818615,1.210562563,2.097741665,0.73286514
Deutsche Bank AG,3/31/2024,19417487313,2333015849,28301209342,55585382174,27284172832,4.197175153,8.550802927,1.037275695
Deutsche Bank AG,6/30/2024,9306050327,729847876.9,23854663266,48476616703,24621953437,1.505566862,2.964215974,0.968837153
Deutsche Bank AG,9/30/2024,18549946525,2323022170,49199711543,64461554635,15261843092,3.603732773,15.22111161,3.223707074
Deutsche Bank AG,12/31/2024,19852203756,2223753463,36451064643,76222443508,39771378864,2.917452342,5.591341126,0.916514983
Porsche AG,3/31/2017,5883512064,440184439.5,47041623953,76926443805,29884819852,0.572214726,1.472936567,1.574097625
Porsche AG,6/30/2017,11523447744,1069672005,31531931981,51328720570,19796788588,2.083963896,5.403260231,1.592780154
Porsche AG,9/30/2017,9631040999,1113020766,22993549681,72046513305,49052963625,1.544864164,2.26901839,0.468749449
Porsche AG,12/31/2017,12119018742,894091080.3,28361763209,73909302825,45547539617,1.20971386,1.962984363,0.622684857
Porsche AG,3/31/2018,17555661518,1335299860,46994742351,88007178782,41012436432,1.517262431,3.255841341,1.145865655
Porsche AG,6/30/2018,9586227654,1382170553,40862854527,89907869527,49045015000,1.537318769,2.818167256,0.833170395
Porsche AG,9/30/2018,17963578177,2139702451,49106113898,95043652065,45937538167,2.251283915,4.657851806,1.068975741
Porsche AG,12/31/2018,7955302121,939711762.4,35954156213,65117507958,29163351745,1.443101543,3.222235121,1.232854047
Porsche AG,3/31/2019,12923331618,1676027156,26939537534,57056948432,30117410898,2.937463714,5.564977554,0.894483846
Porsche AG,6/30/2019,16367236342,1857704381,11368621660,21773242219,10404620558,8.532052149,17.85460959,1.09265125
Porsche AG,9/30/2019,10956259576,738896491.2,30918840712,77968242093,47049401381,0.947689048,1.570469484,0.657156942
Porsche AG,12/31/2019,15806884536,845076735.9,34376508276,55201546863,20825038587,1.530893216,4.05798401,1.650729632
Porsche AG,3/31/2020,10779438774,1358943185,33525281805,71745524050,38220242245,1.89411563,3.555558796,0.877160369
Porsche AG,6/30/2020,7764718758,920211365.8,34970670581,72558969348,37588298767,1.268225519,2.44813252,0.930360557
Porsche AG,9/30/2020,6912391322,945409918.5,38735572223,68605740345,29870168123,1.378033257,3.165063935,1.296797931
Porsche AG,12/31/2020,14994514428,1118453310,13089516203,26894911034,13805394830,4.158605723,8.101566983,0.948145009
Porsche AG,3/31/2021,7884337935,1152213820,19342832660,61176556532,41833723872,1.883423791,2.754270272,0.462374153
Porsche AG,6/30/2021,12452147525,908357933.3,42131566815,76799130880,34667564065,1.182771111,2.620195442,1.215302198
Porsche AG,9/30/2021,7245971264,1033867668,43655777728,59462856760,15807079033,1.7386781,6.540535831,2.761786516
Porsche AG,12/31/2021,14047287806,1489899027,14851641486,42561319258,27709677772,3.500594092,5.376818307,0.535973085
Porsche AG,3/31/2022,10774855240,975556879.2,15417730087,40879706571,25461976485,2.386408712,3.831426362,0.605519768
Porsche AG,6/30/2022,9602996001,1224040111,42066934650,86789124292,44722189642,1.410361172,2.736986092,0.940627795
Porsche AG,9/30/2022,8621455856,1229669587,32376788972,47679877246,15303088274,2.579011647,8.03543419,2.115702948
Porsche AG,12/31/2022,5536870879,298030924.1,19445445005,30265348449,10819903444,0.984726558,2.75446935,1.797192101
Porsche AG,3/31/2023,8880891013,668545569.7,40027402595,66992846031,26965443436,0.997935764,2.47926785,1.484396231
Porsche AG,6/30/2023,16477351074,1226392611,42857529033,61495517042,18637988008,1.994279698,6.580069753,2.299471864
Porsche AG,9/30/2023,12920254885,1147104411,35348848744,85266963912,49918115168,1.345309318,2.297972203,0.708136688
Porsche AG,12/31/2023,16438581863,1419961878,19415830018,36726316966,17310486949,3.86633345,8.202899676,1.121622406
Porsche AG,3/31/2024,12668426079,744579528.3,33183980227,53340703796,20156723569,1.395893708,3.693951181,1.646298324
Porsche AG,6/30/2024,16413767338,1074145603,25161220888,52217608876,27056387988,2.057056282,3.970025873,0.929954911
Porsche AG,9/30/2024,15911174550,1241693861,36125130235,84583217359,48458087124,1.468014459,2.562407917,0.745492288
Porsche AG,12/31/2024,13056746207,1500333956,33698449632,62560115073,28861665442,2.398227615,5.19836237,1.167585069
Merck KGaA,3/31/2017,6974057939,389688114,31405828053,49969368014,18563539961,0.779853997,2.099212299,1.691801678
Merck KGaA,6/30/2017,11003803134,1050945998,30579291828,50859030282,20279738454,2.066390162,5.182246312,1.507874073
Merck KGaA,9/30/2017,17552142118,1316005049,28846310799,40791728305,11945417506,3.226156634,11.0168192,2.414843247
Merck KGaA,12/31/2017,11760953647,812341476,29296072481,51828662312,22532589831,1.567359526,3.605184677,1.30016446
Merck KGaA,3/31/2018,9318197850,641817429.8,48172882387,65628926423,17456044036,0.977949,3.676763352,2.759667785
Merck KGaA,6/30/2018,7868422908,477697388.2,36789908510,81877040048,45087131537,0.583432655,1.059498291,0.815973588
Merck KGaA,9/30/2018,17415152986,1617758811,46995232198,95054854077,48059621879,1.701921302,3.366149685,0.977852725
Merck KGaA,12/31/2018,14241334382,1165009578,37401670447,71252783664,33851113217,1.635037283,3.441569472,1.104887458
Merck KGaA,3/31/2019,19217681417,2238884002,12733925598,36970270841,24236345242,6.055903707,9.237712947,0.525406181
Merck KGaA,6/30/2019,16209619277,1894725317,17305347324,45432894647,28127547323,4.170382124,6.73619102,0.615245514
Merck KGaA,9/30/2019,12097020632,1236164244,27900854055,42173393478,14272539423,2.931147205,8.661137359,1.954862637
Merck KGaA,12/31/2019,17666094987,1547381835,47717175754,76466035769,28748860015,2.023619793,5.382411109,1.659793666
Merck KGaA,3/31/2020,15236467952,894574066,36909348765,72030787429,35121438664,1.241932926,2.547088331,1.050906517
Merck KGaA,6/30/2020,17048403140,1779998241,31894204894,69469086501,37574881608,2.562288251,4.737202528,0.848817176
Merck KGaA,9/30/2020,8081970522,678443942.4,46360819152,75700966235,29340147083,0.896215697,2.31233995,1.580115431
Merck KGaA,12/31/2020,5897253747,625948791.2,38506883950,51548729961,13041846011,1.214285573,4.799541343,2.952563918
Merck KGaA,3/31/2021,14786170161,1680074258,26820455279,61714717112,34894261833,2.722323518,4.814757986,0.768620795
Merck KGaA,6/30/2021,14025754117,1636333354,16839994355,60072011589,43232017234,2.723952986,3.785003473,0.389525991
Merck KGaA,9/30/2021,14686380695,2175890454,36499903384,85610397087,49110493703,2.541619392,4.430601873,0.743220046
Merck KGaA,12/31/2021,12917187369,1708731611,17319486583,43037893850,25718407267,3.970295613,6.64400246,0.673427651
Merck KGaA,3/31/2022,7570645554,419794972.7,36325434183,64924945929,28599511746,0.646585017,1.467839648,1.27014176
Merck KGaA,6/30/2022,19175705351,1921123977,39424400695,70149764250,30725363554,2.738603611,6.252567113,1.28312235
Merck KGaA,9/30/2022,7888146905,698353200.2,33355799273,53175544683,19819745411,1.31329769,3.523522556,1.682958009
Merck KGaA,12/31/2022,7610452133,536310750.1,48688712492,88688270941,39999558449,0.604714405,1.340791676,1.217231249
Merck KGaA,3/31/2023,18085416710,2126765225,44629946816,61554558843,16924612027,3.455089704,12.56610918,2.636984927
Merck KGaA,6/30/2023,9146296754,868361702.9,43413456694,56455610934,13042154240,1.538131797,6.658115576,3.328702904
Merck KGaA,9/30/2023,9297896247,1145109250,49354599469,67631473649,18276874181,1.693160283,6.265345152,2.700385141
Merck KGaA,12/31/2023,17637490503,2103890014,44486109206,61628452463,17142343256,3.413829051,12.27305965,2.59510083
Merck KGaA,3/31/2024,18818295502,2691544192,27944602045,74405164472,46460562427,3.617415823,5.793180392,0.601469302
Merck KGaA,6/30/2024,16561793827,2435933937,19456844175,52664090849,33207246674,4.625417238,7.335549257,0.585921632
Merck KGaA,9/30/2024,15036344926,1704097607,30603212259,59444780752,28841568494,2.866690036,5.908477575,1.061080026
Merck KGaA,12/31/2024,18915504026,2413914962,30820597362,65357495789,34536898427,3.693401855,6.989379684,0.892396213
